sku;nombre_en_defontana;bodega;stock_defontana;reservado;por_recibir
DLATEX017;LATEX SUPERGUARD S C/P;BODEGACENTRAL;0;0;0
DLATEX020;LATEX CRANBERRY M CP;BODEGACENTRAL;0;0;0
DLATEX024;LATEX MUNCARE M C/P;BODEGACENTRAL;0;0;0
DLATEX036;LATEX MACHTIG XS C/P;BODEGACENTRAL;0;0;0
DNITCLEANL;NITRILO CLEANCARRIER AZUL TALLA L;BODEGACENTRAL;0;0;0
DNITCLEANM;NITRILO CLEANCARRIER AZUL TALLA M;BODEGACENTRAL;0;0;0
DNITCLEANS;NITRILO CLEANCARRIER AZUL TALLA S;BODEGACENTRAL;0;0;0
DNITCLEANXS;NITRILO CLEANCARRIER AZUL TALLA XS;BODEGACENTRAL;0;0;0
DNITMACNEGL;NITRILO MACHTIG NEGRO TALLA L;BODEGACENTRAL;0;0;0
DNITMACNEGM;NITRILO MACHTIG NEGRO TALLA M;BODEGACENTRAL;0;0;0
DNITMACNEGS;NITRILO MACHTIG NEGRO TALLA S;BODEGACENTRAL;0;0;0
DNITMADE001;NITRILO HEALTH TOUCH TALLA XS;BODEGACENTRAL;0;0;0
DNITMADE002;NITRILO HEALTH TOUCH TALLA S;BODEGACENTRAL;0;0;0
DNITMADE003;NITRILO HEALTH TOUCH TALLA M;BODEGACENTRAL;0;0;0
DNITMADE004;NITRILO HEALTH TOUCH TALLA L;BODEGACENTRAL;0;0;0
DNITMERRYL;NITRILO MERRYCARE CELESTE TALLA L;BODEGACENTRAL;0;0;0
DNITMERRYM;NITRILO MERRYCARE CELESTE TALLA M;BODEGACENTRAL;0;0;0
DNITMERRYS;NITRILO MERRYCARE CELESTE TALLA S;BODEGACENTRAL;0;0;0
DNITMERRYXS;NITRILO MERRYCARE CELESTE TALLA XS;BODEGACENTRAL;0;0;0
DNITMUNCS;NITRILO MUNCARE TALLA S;BODEGACENTRAL;0;0;0
DNITTRESBM;NITRILO TRESOR BLANCO M;BODEGACENTRAL;0;0;0
DNITTRESBS;NITRILO TRESOR BLANCO S;B3215;0;0;0
DNITTRESBS;NITRILO TRESOR BLANCO S;BODEGACENTRAL;0;0;0
DNITTRESL;NITRILO TRESOR AZUL L;BODEGACENTRAL;0;0;0
DNITTRESM;NITRILO TRESOR AZUL M;BODEGACENTRAL;0;0;500
DNITTRESS;NITRILO TRESOR AZUL S;BODEGACENTRAL;0;0;500
DNITTRESXS;NITRILO TRESOR AZUL XS;BODEGACENTRAL;0;0;0
DROLLO20-A;ROLLO ESTERILIZACION 20X200 SIN FUELLE - A;BODEGACENTRAL;0;0;0
DVASOS001;VASOS 120CC;BODEGACENTRAL;0;0;0
EQUIPO012;TORQUIMETRO PARA ULTRASONIDO TW-1L WOODPECKER;BODEGACENTRAL;0;0;0
EQUIPO016;TORQUIMETRO PARA ULTRASONIDO SIRONA TS-1L MARCA WOODPECKER;BODEGACENTRAL;0;0;0
ESTERIL60LP;GUANTE ESTERIL 6/0 L/P;BODEGACENTRAL;0;0;0
ESTERIL75;GUANTE ESTERIL 7/5;BODEGACENTRAL;0;0;0
ESTERIL75LP;GUANTE ESTERIL 7/5 L/P;BODEGACENTRAL;0;0;0
ESTERIL80LP;GUANTE ESTERIL 8/0 L/P;BODEGACENTRAL;0;0;0
FRESA0003;FRESA CARBIDE BAJA VELOCIDAD REDONDA 0.14;BODEGACENTRAL;0;0;0
FRESA0008;FRESA TRONCOCONICA ALTA VELOCIDAD GRANO FINO 0.14;BODEGACENTRAL;0;0;0
FRESA0009;FRESA TRONCOCONICA ALTA VELOCIDAD GRANO FINO 0.16;BODEGACENTRAL;0;0;0
FRESA0012;FRESA DIAM. LLAMA ALTA VELOCIDAD GRANO FINO 0.23;BODEGACENTRAL;0;0;0
FRESA0013;FRESA DIAM. LLAMA ALTA VELOCIDAD GRANO SUPER FINO 0.23;BODEGACENTRAL;0;0;0
FRESAGATES001;FRESA GATES EHROS N°1;BODEGACENTRAL;0;0;0
FRESAPEESO001;SET FRESA LARGO PEESO N°1 32 MM ROGIN;BODEGACENTRAL;0;0;0
FRESAPEESO002;SET FRESA LARGO PEESO N°2 32 MM ROGIN;BODEGACENTRAL;0;0;0
FRESAS003;CARBIDE CILINDRICA EXT. PLANO CORTE CRUZADO C31 012 PM.;BODEGACENTRAL;0;0;0
HEMO003;HEMOSTATICO LIQUIDO HEMOPARE 10 ML MAQUIRA;BODEGACENTRAL;0;0;0
HILORETR001;HILO RETRACTOR #1 - 2 METROS;BODEGACENTRAL;0;0;0
HILORETR002;HILO RETRACTOR #2 - 2 METROS;BODEGACENTRAL;0;0;0
HILORETR004;HILO RETRACTOR SIN SULFATO 000;BODEGACENTRAL;0;0;0
IDENT031;HILO RETRACTOR SURE/CORD N°000;BODEGACENTRAL;0;0;0
IDENT032;HILO RETRACTOR SURE/CORD N°00;BODEGACENTRAL;0;0;0
IDENT033;HILO RETRACTOR SURE/CORD N°0;BODEGACENTRAL;0;0;0
INSTRU042;SONDA HU-FRIEDY U.OF NORTH CAROLINA SATIN STEEL, PCPUNC156.;BODEGACENTRAL;0;0;0
INSTRU154;ESPATULA PLASTICA PARA VIDRIO IONOMERO;BODEGACENTRAL;0;0;0
KERR002;ADHESIVO CUBETAS VPS KERR 5ML;BODEGACENTRAL;0;0;0
KERR004;FG505R - FRESA DIAMANTE GRANO REGULAR CILINDRICA LARGA PUNTA PLANA A/V 012;BODEGACENTRAL;0;0;0
KERR005;FG575C - FRESA DIAMANTE GRANO GRUESO CILINDRICA LARGA PUNTA REDONDA A/V 016;BODEGACENTRAL;0;0;0
KERR006;FG110R - FRESA DIAMANTE GRANO REGULAR REDONDA A/V 009;BODEGACENTRAL;0;0;0
KERR007;FG786R - FRESA DIAMANTE GRANO REGULAR CONICA O TRONCO CONICA PUNTA REDONDEADA A/V 021;BODEGACENTRAL;0;0;0
KERR008;FG4236P - FRESA DIAMANTE PULIDO COMPOSITE GRANO FINO AGUJA LARGA A/V 014;BODEGACENTRAL;0;0;0
KERR009;FG4201 - FRESA DIAMANTE PULIDO COMPOSITE GRANO FINO REDONDA A/V 016;BODEGACENTRAL;0;0;0
KERR010;FG4255 - FRESA DIAMANTE PULIDO COMPOSITE GRANO FINO BALON A/V 021;BODEGACENTRAL;0;0;0
KERR011;FG4205L - FRESA DIAMANTE PULIDO COMPOSITE GRANO FINO LLAMA A/V 10;BODEGACENTRAL;0;0;0
KERR012;FG252R - FRESA DIAMANTE GRANO REGULAR TORPEDO A/V 014;BODEGACENTRAL;0;0;0
KERR013;FG121R - FRESA DIAMANTE GRANO REGULAR REDONDA A/V 01;BODEGACENTRAL;0;0;0
KERR014;FG120R - FRESA DIAMANTE GRANO REGULAR REDONDA A/V 014;BODEGACENTRAL;0;0;0
KERR015;FG630F - FRESA DIAMANTE GRANO FINO BALON A/V 023;BODEGACENTRAL;0;0;0
KERR016;FG620R - FRESA DIAMANTE GRANO REGULAR BALON A/V 025;BODEGACENTRAL;0;0;0
KERR017;FG610SF - FRESA DIAMANTE GRANO SUPER FINO BALON A/V 018;BODEGACENTRAL;0;0;0
KERR025;FG630R - FRESA DIAMANTE GRANO REGULAR BALON A/V 023;BODEGACENTRAL;0;0;0
KERR026;FG150C - FRESA DIAMANTE GRANO GRUESO REDONDA A/V 021;BODEGACENTRAL;0;0;0
KERR027;FG131C - FRESA DIAMANTE GRANO GRUESO REDONDA A/V 016;BODEGACENTRAL;0;0;0
KERR091;FG130C - FRESA DIAMANTE GRANO GRUESO REDONDA A/V 016;BODEGACENTRAL;0;0;0
KERR092;FG217R - FRESA DIAMANTE GRANO REGULAR LLAMA A/V 014;BODEGACENTRAL;0;0;0
KERR093;FG555R - FRESA DIAMANTE GRANO REGULAR CILINDRICA LARGA PUNTA REDONDA A/V 012;BODEGACENTRAL;0;0;0
KERR094;FG728R - FRESA DIAMANTE GRANO REGULAR CONICA O TRONCO CONICA A/V 014;BODEGACENTRAL;0;0;0
KERR095;FG527R - FRESA DIAMANTE GRANO REGULAR CILINDRICA CORTA PLUMA PLANA A/V 012;BODEGACENTRAL;0;0;0
KERR096;440007 - FRESA CARBIDE ESPECIAL ALTA VELOCIDAD DE TALLO MEDIO ZREKYA ZK A/V 015 - FG199Z;BODEGACENTRAL;0;0;0
KERR097;400296 - FRESA CARBIDE PIEZA DE MANO REDONDA P/M 018 - HP6;BODEGACENTRAL;0;0;0
KERR107;COMPOSITE HARMONIZE KIT INTRO 4 X 2 GR;BODEGACENTRAL;0;0;0
KITQUIR001;KIT DE CIRUGIA;BODEGACENTRAL;0;0;0
KITQUIR003;KIT DE CIRUGIA MERRYCARE;BODEGACENTRAL;0;0;0
LYSANDA008;SILANO 5ML LYSANDA;BODEGACENTRAL;0;0;0
LYSANDA022;BARRERA GINGIVAL LYSDAM 1 JER 2,5GR;BODEGACENTRAL;0;0;0
LYSANDA029;BANDA MATRIZ 7MM LYSANDA;BODEGACENTRAL;0;0;0
MAQUIRA008;GELITA HEMOSPON MAQUIRA x 40;BODEGACENTRAL;0;0;0
MAQUIRA020;HEMOSPON 40 UNIDADES;BODEGACENTRAL;0;0;0
MAQUIRA028;ACIDO ORTOFOSFORICO GEL 37% MAQUIRA;BODEGACENTRAL;0;0;0
MAQUIRA046;BANDA MATRIZ 7MM MARCA MAQUIRA;BODEGACENTRAL;0;0;0
MASC004;MASCARILLA NIÑOS 3 PLIEGUES;BODEGACENTRAL;0;0;0
MONOJET001;MONOJET 27 GA X 100 (JERINGA DE IRRIGACION);BODEGACENTRAL;0;0;0
MONOJET003;JERINGA DE IRRIGACION 30 GA X 100;BODEGACENTRAL;0;0;0
NITEVOLVE001;NITRILO EVOLVE LP M;BODEGACENTRAL;0;0;0
NITNIPL;NITRILO LIBRE DE POLVO TALLA L MARCA NIPRO;BODEGACENTRAL;0;0;0
NITNIPM;NITRILO LIBRE DE POLVO TALLA M MARCA NIPRO;BODEGACENTRAL;0;0;0
NITNIPS;NITRILO LIBRE DE POLVO TALLA S MARCA NIPRO;BODEGACENTRAL;0;0;0
NITTOPM;NITRILO TOP GLOVE TALLA M C/P;BODEGACENTRAL;0;0;0
NITTOPS;NITRILO TOP GLOVE TALLA S C/P;BODEGACENTRAL;0;0;0
